OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18030591,03/24/2018,18:35:00,03/24/2018,18:37:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Parking Lot,300,,Ferst Drive  NW,,,2
18030604,03/26/2018,13:35:00,03/26/2018,13:35:00,5499,Traffic Offense (describe offense),Closed/Cleared,,PUB,Z1,,,,,,,1
18030623,03/27/2018,14:15:00,03/27/2018,14:17:00,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,,48,,Fifth Street  NW @ Spring Street  NW,,,1
18030624,03/27/2018,17:58:00,03/27/2018,19:46:00,5499,Traffic Offense (describe offense),Closed/Cleared,,ONCAM,Z2,North Ave NW @ Mcafee Street  NW,,,,33.777686,-84.395756,1
18030643,03/29/2018,00:21:00,03/29/2018,00:24:00,2317,Larceny - Bicycle,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Scheller College of Business,800,,West Peachtree St.  NW,,,1
18030651,03/29/2018,05:30:00,03/29/2018,16:19:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Campus Recreation Center Parking Deck,750,,Ferst Drive NW,,,1
18040688,04/03/2018,14:45:00,04/03/2018,16:27:00,2305,Larceny - Articles from Vehicle,Inactive,,ONCAM,Z1,O'Keefe Building   33   Z1,151,,Sixth Street NW,33.7738,-84.3945,1
18040880,04/24/2018,17:30:00,04/24/2018,17:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Scheller College of Business   172   Z2,800,,West Peachtree Street NW,33.776280525200001,-84.3880186544,1
18040905,04/27/2018,16:10:00,04/27/2018,16:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,Harris Residence Hall,633,,Techwood Drive  NW,,,1
18051062,04/19/2018,16:00:00,05/14/2018,16:30:00,2317,Larceny - Bicycle,Further Investigation,,ONCAM,Z2,NAA Dining Hall,120,,North Avenue NW,,,1
18030519,03/15/2018,11:35:00,03/15/2018,12:46:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Van Leer Electrical Engineering Building   85  Z3,777,,Atlantic Drive NW,33.775855911500003,-84.397170809100004,1
18030537,03/16/2018,17:17:00,03/16/2018,17:32:00,2317,Larceny - Bicycle,Closed/Cleared,Cleared by Arrest,ONCAM,Z4,North Avenue Apartments,120,,North Avenue  NW,33.771401,-84.398997,1
18030572,03/22/2018,17:10:00,03/22/2018,17:19:00,3550,Possession of Drug Related Items/Narcotic Equipment,Closed/Cleared,Cleared by Arrest,PUB,Z1,Tenth Street NW @ State Street NW,,,,,,1
18030644,03/29/2018,03:15:00,03/29/2018,03:47:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,Towers Residence Hall,112,,Bobby Dodd Way NW,,,1
18030652,03/27/2018,18:30:00,03/28/2018,07:30:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAM,Z3,Manufacturing Research Center (MaRC)   126  Z3,813,,Ferst Drive NW,33.7775993098,-84.4013428492,1
18040763,04/11/2018,18:09:00,04/11/2018,18:44:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,ONCAM,Z2,North Avenue NW @ Spring Street,,,,,,2
18040867,04/23/2018,01:02:00,04/23/2018,01:49:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,Harrison Residence Hall,660,,Williams Street NW,,,1
18040883,04/24/2018,23:11:00,04/24/2018,23:57:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Clough Undergraduate Learning Commons,266,,Fourth Street  NW,33.774681795699998,-84.396379388400007,1
18040921,04/29/2018,18:04:00,04/29/2018,20:36:00,3562,Marijuana - Possession of,Closed/Cleared,Arrest On Primary Offense/Secondary Offense Without Prosecution,PUB,Z1,,,,Tenth Street @ Hemphill Avenue NW,,,1
18050946,05/02/2018,16:53:00,05/02/2018,17:34:00,9999,Non-Crime (not reported to state),Closed/Cleared,,NONCAM,Z4,Tenside Apartments,1000,,Northside Drive  NW,,,1
18050977,05/04/2018,10:00:00,05/04/2018,14:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,McCamish Pavillion,965,,Fowler Street  NW,,,1
18040788,04/13/2018,11:01:00,04/13/2018,13:00:00,5311,Disorderly Conduct,Closed/Cleared,Cleared by Arrest,ONCAM,Z4,Student Health Center   177   Z4,740,,Ferst Drive NW,33.774833656299997,-84.403110789999999,1
18040807,04/15/2018,18:04:00,04/15/2018,18:22:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Bobby Dodd Way  NW @ Techwood Drive  NW,,,Bobby Dodd Way @ Fowler Street,,,1
18040886,04/25/2018,13:16:00,04/25/2018,14:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Bobby Dodd Way & Brittain Dr NW,,,,33.773913,-84.392857,1
18050982,05/05/2018,16:00:00,05/05/2018,16:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,McCamish Pavilion,965,,Fowler Street NW,,,1
18051029,05/10/2018,12:00:00,05/10/2018,12:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Brown Residence Hall,625,NW,Techwood Drive,,,1
