OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18071635,07/30/2018,10:45:00,07/30/2018,10:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,,NONCAM,OFFCAM,,611,,HWY 74,,,1
18061370,06/29/2018,21:30:00,06/30/2018,17:30:00,2317,Larceny - Bicycle,Inactive,,ONCAM,Z1,Graduate Living Center,301,,Tenth Street  NW,33.781957443700001,-84.396605664800006,1
18071407,06/04/2018,08:00:00,06/05/2018,16:00:00,9999,Non-Crime (not reported to state),Inactive,,ONCAM,Z3,MASON BUILDING,790,NW,ATLANTIC DR NW,33.778956412500001,-84.401314659600004,1
18071423,07/09/2018,11:36:00,07/09/2018,11:48:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Clough Undergraduate Learning Commons,266,,Fourth Street NW,33.774681795699998,-84.396379388400007,1
18071433,07/09/2018,05:30:00,07/10/2018,14:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Business Services   164   Z4,711,,Marietta Street NW,33.7728653676,-84.4014654817,1
18071583,07/25/2018,09:40:00,07/25/2018,09:47:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,NAA East  191  Z2,120,,North Avenue NW,33.76952,-84.39097,1
18071590,07/26/2018,11:53:00,07/26/2018,11:53:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Mason Building,790,,Atlantic Drive  NW,33.778956412500001,-84.401314659600004,1
18071605,07/18/2018,17:51:00,07/18/2018,18:06:00,5499,Traffic Offense (describe offense),Closed/Cleared,Prosecution Declined,ONCAM,Z2,North Avenue  NW at Techwood Drive  NW,,,,,,1
18071617,07/28/2018,22:15:00,07/28/2018,23:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,NONCLERY,OFFCAM,North Avenue  NW @ Spring Street  NW,,,,,,1
18071542,07/21/2018,00:00:00,07/21/2018,00:45:00,9999W,,Closed/Cleared,Cleared by Arrest,NONCLERY,OFFCAM,Pine Street  NW at Lovejoy Street  NW,,,,,,1
18081654,08/01/2018,17:00:00,08/02/2018,11:00:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAM,Z2,Alumni Faculty House   3   Z2,190,,North Avenue  NW,33.7710216957,-84.3935015865,1
18081663,08/01/2018,12:00:00,08/03/2018,11:00:00,3699,Sex Offense Free Text,Further Investigation,,ONCAM,Z3,College of Computing,801,,Atlantic Drive  NW,33.777409087999999,-84.397291573199993,1
18081659,08/02/2018,21:40:00,08/02/2018,21:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Beringause Building,879,,Hemphill Avenue,33.778956412500001,-84.401314659600004,1
18081669,08/03/2018,23:30:00,08/04/2018,23:43:00,9999W,,Closed/Cleared,Cleared by Arrest,NONCLERY,Z4,Northside Drive  NW at Marietta Street  NW,,,,,,1
18040671,03/31/2018,23:00:00,04/01/2018,12:00:00,2202,Burglary  - Forced Entry - Residence,Inactive,,NONCAM,Z2,Delta Chi Fraternity,170,,Fifth Street  NW,33.776605758700001,-84.392959534699997,1
18040696,04/04/2018,12:20:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Student Center   104   Z3,351,,Ferst Drive NW,33.7741360837,-84.398818020899995,1
18040700,04/05/2018,00:16:00,04/05/2018,01:32:00,9999F,,Further Investigation,,ONCAM,Z3,Klaus Advanced Computing Building,266,,Ferst Drive  NW,,,1
18040720,04/06/2018,23:01:00,04/07/2018,00:23:00,9999W,,Closed/Cleared,Cleared by Arrest,PUB,Z1,Fowler Street  NW @ Tenth Street  NW,,,,,,1
18040758,04/04/2018,13:30:00,04/04/2018,16:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Campus Services Warehouse   882,818,,Joseph E Lowery Boulevard NW,33.776562,-84.417785,1
18040778,04/12/2018,23:23:00,04/12/2018,23:39:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Peters Parking Deck,749,,Fowler Street  NW,,,1
18040796,04/14/2018,02:50:00,04/14/2018,05:25:00,5404,Driving Under the Influence of Alcohol,Closed/Cleared,Cleared by Arrest,ONCAM,Z1,Research Administration   155   Z1,505,,Tenth Street NW,,,1
